order_id,order_date,region,city,product_name,category,quantity,unit_price,total_revenue,customer_id,sales_channel
UK-2026-102270,2026-04-19,East,Guwahati,Power Bank 20000mAh,Electronics,1,1831,1831,CUST-10778,Marketplace
UK-2026-104685,2026-06-21,South,Bengaluru,Formal Shirt,Fashion,1,1086,1086,CUST-67546,App
UK-2026-102488,2026-04-13,East,Patna,Robot Vacuum R7,Home & Kitchen,2,18639,37278,CUST-96695,Website
UK-2026-100330,2026-01-19,Central,Nagpur,Adjustable Dumbbells 15kg,Sports,1,4811,4811,CUST-71125,Marketplace
UK-2026-101570,2026-03-08,East,Guwahati,Adjustable Dumbbells 15kg,Sports,2,5127,10254,CUST-59961,Website
UK-2026-104538,25-06-26,South,Hyderabad,Badminton Racket Set,Sports,2,2476,4952,CUST-29874,Marketplace
UK-2026-101709,2026-03-15,East,Patna,Formal Shirt,Fashion,1,1126,"₹1,126",CUST-95851,App
UK-2026-103574,2026-05-24,West,Surat,Electric Kettle 1.5L,Home & Kitchen,2,1091,2182,CUST-68374,App
UK-2026-101282,2026-02-26,South,Kochi,Sunscreen SPF50,Beauty,2,536,"₹1,072",CUST-70613,App
UK-2026-101179,04/02/2026,North,Chandigarh,Makeup Brush Set,Beauty,1,1261,1261,CUST-95983,App
UK-2026-102671,2026-04-25,East,Bhubaneswar,Eau de Parfum 100ml,Beauty,1,1987,1987,CUST-11024,App
UK-2026-103868,2026-05-03,East,Patna,Cycling Helmet,Sports,1,1656,1656,CUST-99328,Marketplace
UK-2026-101751,2026-03-03,South,Bengaluru,Mixer Grinder 750W,Home & Kitchen,1,3444,3444,CUST-58367,App
UK-2026-101525,2026-03-19,Central,Indore,Bluetooth Speaker Mini,Electronics,,1446,1446,CUST-25943,Marketplace
UK-2026-104384,2026-06-27,West,Ahmedabad,Leather Wallet,Fashion,1,917,917,CUST-48431,Marketplace
UK-2026-102018,01-03-26,North,Noida,Badminton Racket Set,Sports,2,2613,5226,CUST-97461,App
UK-2026-102953,2026-04-20,North,Delhi,Silk Saree,Fashion,1,3431,3431,CUST-99326,Website
UK-2026-101287,2026-02-28,West,Surat,Ethnic Dupatta,Fashion,1,477,477,CUST-59961,App
UK-2026-102255,2026-04-07,North,Chandigarh,Ultrabook Air 14,Electronics,2,30236,60472,CUST-29197,Marketplace
UK-2026-103383,2026-05-27,North,Chandigarh,Cotton Kurta Set,Fashion,1,1313,1313,CUST-88889,Website
UK-2026-101948,2026-03-25,West,Surat,Robot Vacuum R7,Home & Kitchen,3,19650,58950,CUST-60115,App
UK-2026-101913,2026-03-09,South,Kochi,Mirrorless Camera Lite,Electronics,2,28934,57868,CUST-29917,Marketplace
UK-2026-101063,07-02-26,West,Pune,Formal Shirt,Fashion,2,1049,2098,CUST-73133,Website
UK-2026-102631,2026-04-04,East,Bhubaneswar,Beard Grooming Kit,Beauty,1,955,955,CUST-83294,App
UK-2026-102778,2026-04-14,South,Hyderabad,Badminton Racket Set,Sports,4,2433,9732,CUST-92255,App
UK-2026-104175,2026-06-22,Central,Raipur,43-inch Smart TV,Electronics,1,26942,26942,CUST-13806,Website
UK-2026-100829,2026-02-22,North,Chandigarh,Cricket Bat English Willow,Sports,1,8940,8940,CUST-74129,App
UK-2026-100429,2026-01-08,West,Ahmedabad,Sunscreen SPF50,Beauty,1,544,544,CUST-73252,App
UK-2026-101248,2026-02-10,North,Gurugram,Noise-Cancelling Headphones,Electronics,1,8666,8666,CUST-11369,Website
UK-2026-103004,2026-04-10,North,Chandigarh,Power Bank 20000mAh,Electronics,1,1836,1836,CUST-88349,Website
UK-2026-102216,2026-03-04,South,Bengaluru,Ultrabook Air 14,Electronics,1,29241,29241,CUST-14663,App
UK-2026-104391,2026-06-24,Central,Bhopal,Leather Wallet,Fashion,1,936,936,CUST-59329,App
UK-2026-100195,2026-01-08,North,gurugram,Slim Fit Jeans,Fashion,1,1648,1648,CUST-99147,Marketplace
UK-2026-100903,2026-02-10,North,Noida,Denim Jacket,Fashion,1,2173,2173,CUST-79290,Website
UK-2026-104516,2026-06-09,South,Hyderabad,Eau de Parfum 100ml,Beauty,1,2056,"₹2,056",CUST-41522,App
UK-2026-102753,2026-04-01,,Gurugram,Smart Watch X2,Electronics,2,4610,9220,CUST-60910,Marketplace
UK-2026-101061,2026-02-23,South,Chennai,Ultrabook Air 14,Electronics,1,29728,29728,CUST-82908,Marketplace
UK-2026-103314,2026-05-25,Central,Indore,Modern Wall Clock,Home & Kitchen,1,784,784,CUST-43156,App
UK-2026-102684,2026-04-22,East,Bhubaneswar,Power Bank 20000mAh,Electronics,2,1851,3702,CUST-39550,Website
UK-2026-102471,2026-04-11,South,Bengaluru,Denim Jacket,Fashion,2,2099,4198,CUST-77941,Website
UK-2026-104141,2026-06-03,North,Noida,Beard Grooming Kit,Beauty,1,1018,1018,CUST-51672,App
UK-2026-102547,2026-04-05,East,Bhubaneswar,Makeup Brush Set,Beauty,2,1364,2728,CUST-64882,Website
UK-2026-101659,2026-03-11,South,Kochi,Yoga Mat Pro,Sports,1,1230,1230,CUST-99670,App
UK-2026-103751,2026-05-27,South,Kochi,Vitamin C Serum,Beauty,2,693,1386,CUST-92024,Website
UK-2026-100202,2026-01-12,North,Chandigarh,Cotton Kurta Set,Fashion,1,1294,1294,CUST-69284,App
UK-2026-104865,2026-06-09,East,Kolkata,Sunscreen SPF50,Beauty,2,540,1080,CUST-18170,App
UK-2026-103502,2026-05-08,Central,Nagpur,Smart Watch X2,Electronics,3,4586,13758,CUST-60690,Marketplace
UK-2026-103887,2026-05-13,West,Ahmedabad,Modern Wall Clock,Home & Kitchen,2,782,1564,CUST-21592,Marketplace
UK-2026-100737,2026-02-12,North,Noida,Denim Jacket,Fashion,1,2306,2306,CUST-34962,Website
UK-2026-102668,2026-04-12,North,Gurugram,Ethnic Dupatta,Fashion,1,500,500,CUST-76770,Website
UK-2026-102974,2026-04-17,West,Ahmedabad,Power Bank 20000mAh,Electronics,1,1857,1857,CUST-12188,Marketplace
UK-2026-102848,2026-04-15,South,Kochi,Ultrabook Air 14,Electronics,1,28582,28582,CUST-69827,App
UK-2026-103992,2026-05-28,North,Delhi,Denim Jacket,Fashion,2,2266,4532,CUST-45888,Website
UK-2026-101476,2026-03-08,West,Ahmedabad,Mirrorless Camera Lite,Electronics,1,28817,28817,CUST-69827,Website
UK-2026-101300,2026-02-27,West,Pune,noise-cancelling headphones,Electronics,2,8969,17938,CUST-54495,Marketplace
UK-2026-102600,2026-04-19,South,Hyderabad,Cycling Helmet,Sports,1,1558,1558,CUST-67410,App
UK-2026-102854,2026-04-20,West,Surat,Matte Lipstick Set,Beauty,,859,859,CUST-68829,App
UK-2026-104785,2026-06-11,South,Chennai,Yoga Mat Pro,Sports,1,1228,1228,CUST-14966,App
UK-2026-101081,2026-02-26,West,Surat,Foldable Treadmill T2,Sports,1,26218,26218,CUST-95181,App
UK-2026-100814,2026-02-13,Central,Raipur,RUNNING SNEAKERS,Fashion,1,2830,2830,CUST-24095,App
UK-2026-103515,2026-05-23,East,Patna,Eau de Parfum 100ml,Beauty,1,1925,1925,CUST-83285,App
UK-2026-101161,2026-02-02,North,  Chandigarh,43-inch Smart TV,Electronics,2,25653,51306,CUST-33262,Marketplace
UK-2026-101986,2026-03-14,West,Mumbai,Wireless Earbuds Pro,Electronics,1,2993,2993,CUST-63488,App
UK-2026-100777,2026-02-28,South,Bengaluru,Slim Fit Jeans,Fashion,1,1595,1595,CUST-89533,Website
UK-2026-104309,2026-06-30,North,Delhi,Bluetooth Speaker Mini,Electronics,1,1473,1473,CUST-92119,App
UK-2026-102490,2026-04-27,South,Hyderabad,Matte Lipstick Set,Beauty,2,921,1842,CUST-19349,Website
UK-2026-103077,2026-04-22,South,Hyderabad,Gym Gloves,Sports,3,498,1494,CUST-13755,Website
UK-2026-103651,2026-05-08,South,Hyderabad,Dinner Set 24pc   ,Home & Kitchen,1,2416,2416,CUST-78421,Website
UK-2026-103876,2026-05-09,North,Chandigarh,Mixer Grinder 750W,Home & Kitchen,1,3430,3430,CUST-62642,App
UK-2026-103560,2026-05-22,East,Kolkata,Vitamin C Serum,Beauty,1,710,710,CUST-71543,Website
UK-2026-100571,2026-01-26,South,Hyderabad,RUNNING SNEAKERS,Fashion,1,2820,2820,CUST-99369,App
UK-2026-104820,2026-06-29,North,GGN,Wireless Earbuds Pro,Electronics,2,2982,5964,CUST-70006,App
UK-2026-101474,2026-03-07,West,Mumbai,Noise-Cancelling Headphones,Electronics,1,9050,9050,CUST-30655,Website
UK-2026-102336,2026-04-24,West,Pune,Badminton Racket Set,Sports,1,2620,2620,CUST-65781,Marketplace
UK-2026-104287,2026-06-30,North,Gurugram,Foldable Treadmill T2,Sports,4,24060,96240,CUST-46396,App
UK-2026-101189,19-02-26,Central,Nagpur,Ionic Hair Dryer,Beauty,1,1992,1992,CUST-82908,Website
UK-2026-101425,2026-02-10,North,New Delhi,Modern Wall Clock,Home & Kitchen,1,783,783,CUST-40770,App
UK-2026-103795,2026-05-29,South,Kochi,Air Fryer 5L,Home & Kitchen,1,5542,5542,CUST-76137,App
UK-2026-104290,2026-06-15,South,Chennai,Noise-Cancelling Headphones,Electronics,2,9382,18764,CUST-42701,App
UK-2026-104490,2026-06-06,East,Guwahati,Wireless Earbuds Pro,Electronics,1,3068,3068,CUST-67505,Marketplace
UK-2026-102966,2026-04-26,Central,Indore,Beard Grooming Kit,Beauty,0,1008,1008,CUST-27471,Website
UK-2026-102159,2026-03-27,Central,Raipur,Smart Watch X2,Electronics,1,4479,4479,CUST-39987,Marketplace
UK-2026-103918,2026-05-17,North,Gurugram,Non-Stick Cookware Set,Home & Kitchen,1,2854,2854,CUST-92045,Marketplace
UK-2026-104991,2026-06-20,South,Kochi,Modern Wall Clock,Home & Kitchen,1,833,833,CUST-92298,Website
UK-2026-100409,2026-01-14,West,Mumbai,43-inch Smart TV,Electronics,2,25804,51608,CUST-80759,Website
UK-2026-104654,2026-06-10,South,Bengaluru,Non-Stick Cookware Set,Home & Kitchen,1,2910,2910,CUST-99143,App
UK-2026-102964,2026-04-20,Central,Indore,Silk Saree,Fashion,1,3594,3594,CUST-65202,Website
UK-2026-102091,2026-03-13,East,Patna,43-inch Smart TV,Electronics,4,26770,107080,CUST-59737,App
UK-2026-104582,2026-06-24,West,Pune,Sunscreen SPF50,Beauty,2,545,1090,CUST-62630,App
UK-2026-104809,12/06/2026,South,Kochi,Wireless Earbuds Pro,Electronics,2,3056,6112,CUST-50908,Marketplace
UK-2026-102258,2026-04-02,North,Delhi,  Formal Shirt,Fashion,1,1151,1151,CUST-68420,App
UK-2026-104127,2026-06-12,West,Surat,Silk Saree,Fashion,1,3571,3571,CUST-39306,App
UK-2026-104359,2026-06-23,West,Ahmedabad,Modern Wall Clock,Home & Kitchen,1,811,811,CUST-84403,App
UK-2026-102347,2026-04-29,Central,Nagpur,Beard Grooming Kit,Beauty,1,1036,1036,CUST-88408,Website
UK-2026-101392,2026-02-06,East,Bhubaneswar,Denim Jacket,Fashion,1,2256,2256,CUST-71915,App
UK-2026-102020,2026-03-20,North,Delhi,Electric Kettle 1.5L,Home & Kitchen,1,1053,1053,CUST-12820,App
UK-2026-100354,2026-01-17,North,Noida,Mixer Grinder 750W,Home & Kitchen,1,3177,3177,CUST-40211,App
UK-2026-100252,2026-01-07,West,Surat,Makeup Brush Set,Beauty,2,1239,,CUST-85096,Marketplace
UK-2026-104622,2026-06-20,West,Surat,Beard Grooming Kit,Beauty,1,999,999,CUST-60690,App
UK-2026-103898,2026-05-11,West,Surat,Dinner Set 24pc,Home & Kitchen,2,2596,5192,CUST-30655,App
UK-2026-102810,2026-04-17,South,Chennai,Ultrabook Air 14,Electronics,2,29320,58640,CUST-36308,Marketplace
UK-2026-103721,2026-05-20,West,Mumbai,Wireless Earbuds Pro,Electronics,1,2938,2938,CUST-34293,App
UK-2026-103462,2026-05-21,West,Pune,Ethnic Dupatta,Fashion,1,497,,CUST-29549,App
UK-2026-100147,2026-01-02,North,Delhi,Ultrabook Air 14,Electronics,2,28918,57836,CUST-58650,Website
UK-2026-101469,2026-03-05,East,Guwahati,Silk Saree,Fashion,1,3340,3340,CUST-96659,App
UK-2026-100976,01/02/2026,West,Ahmedabad,Formal Shirt,Fashion,1,1051,1051,CUST-43457,App
UK-2026-100246,2026-01-18,Central,Indore,Sunscreen SPF50,Beauty,1,540,540,CUST-68658,App
UK-2026-100288,2026-01-15,East,Guwahati,Mixer Grinder 750W,Home & Kitchen,1,3288,3288,CUST-18939,App
UK-2026-104875,2026-06-08,North,Noida,Bluetooth Speaker Mini,Electronics,1,1437,1437,CUST-61588,App
UK-2026-100382,2026-01-13,East,Bhubaneswar,Noise-Cancelling Headphones,Electronics,2,9116,18232,CUST-56747,App
UK-2026-101255,2026-02-27,West,Pune,Badminton Racket Set,Sports,1,2387,2387,CUST-81747,Website
UK-2026-101089,2026-02-02,North,Noida,Electric Kettle 1.5L,Home & Kitchen,1,1054,1054,CUST-79771,App
UK-2026-102431,2026-04-24,Central,Nagpur,Football Size 5,Sports,1,938,938,CUST-38667,Website
UK-2026-100676,2026-01-01,Central,Indore,Running Sneakers,Fashion,1,2873,2873,CUST-92677,App
UK-2026-100257,2026-01-31,North,Delhi,Ultrabook Air 14,Electronics,1,30932,30932,CUST-65752,Website
UK-2026-102657,2026-04-11,South,Hyderabad,Eau de Parfum 100ml,Beauty,1,1902,1902,CUST-76055,Website
UK-2026-100421,2026-01-11,West,Surat,Cricket Bat English Willow,Sports,1,9140,9140,CUST-74336,App
UK-2026-104136,2026-06-17,North,Noida,Robot Vacuum R7,Home & Kitchen,1,18443,18443,CUST-12706,Marketplace
UK-2026-104742,2026-06-04,West,Ahmedabad,Bluetooth Speaker Mini,Electronics,2,1542,3084,CUST-33303,Website
UK-2026-102647,2026-04-25,Central,Nagpur,Air Fryer 5L,Home & Kitchen,1,5338,5338,CUST-41471,Website
UK-2026-104615,2026-06-14,West,Pune,Badminton Racket Set,Sports,1,2477,2477,CUST-67486,Marketplace
UK-2026-102934,2026-04-12,Central,Nagpur,Running Sneakers,Fashion,2,2802,5604,CUST-98158,App
UK-2026-104319,2026-06-26,West,Surat,  Mixer Grinder 750W,Home & Kitchen,1,3231,3231,CUST-95592,App
UK-2026-101760,"Mar 26, 2026",East,Bhubaneswar,Cotton Kurta Set,Fashion,1,1348,1348,CUST-58799,Website
UK-2026-101038,2026-02-19,East,Bhubaneswar,Cotton Bedsheet Set,Home & Kitchen,2,1467,2934,CUST-64545,Website
UK-2026-102460,2026-04-23,West,Ahmedabad,Non-Stick Cookware Set,Home & Kitchen,2,2956,5912,CUST-15726,Website
UK-2026-101682,2026-03-03,Central,Raipur,Bluetooth Speaker Mini,Electronics,3,1554,4662,CUST-80346,App
UK-2026-100897,2026-02-19,West,Pune,43-inch Smart TV,Electronics,4,26387,,CUST-59499,Website
UK-2026-103492,2026-05-16,North,Gurugram,Adjustable Dumbbells 15kg,Sports,1,5050,5050,CUST-76055,Marketplace
UK-2026-100548,2026-01-26,North,Gurugram,Gym Gloves,Sports,1,488,488 INR,CUST-75121,App
UK-2026-103618,2026-05-28,North,Delhi,Football Size 5,Sports,1,883,883,CUST-47723,Marketplace
UK-2026-103677,2026-05-25,West,Ahmedabad,Ethnic Dupatta,Fashion,2,508,1016,CUST-35109,App
UK-2026-100762,2026-02-13,West,Ahmedabad,Face Wash Combo,Beauty,2,459,918,CUST-53225,App
UK-2026-102345,2026-04-21,West,Mumbai,Modern Wall Clock,Home & Kitchen,1,790,790,CUST-38975,App
UK-2026-104546,2026-06-10,North,Noida,Cotton Bedsheet Set,Home & Kitchen,1,1377,1377,CUST-96209,Website
UK-2026-104908,2026-06-08,East,Kolkata,Non-Stick Cookware Set,Home & Kitchen,1,2909,2909,CUST-80046,App
UK-2026-104732,2026-06-19,North,Gurugram,Mixer Grinder 750W,Home & Kitchen,1,3140,3140,CUST-75278,Marketplace
UK-2026-104903,2026-06-26,Central,Bhopal,Formal Shirt,Fashion,2,1072,2144,CUST-69366,Marketplace
UK-2026-102509,2026-04-28,West,Ahmedabad,Eau de Parfum 100ml,Beauty,2,2012,4024,CUST-21583,App
UK-2026-103132,2026-05-16,West,Mumbai,43-inch Smart TV,Electronics,4,26412,105648,CUST-22295,Website
UK-2026-102244,2026-04-18,East,Patna,Cotton Bedsheet Set,Home & Kitchen,1,1437,1437,CUST-70639,App
UK-2026-103653,2026-05-15,North,Noida,Formal Shirt,Fashion,1,1100,1100,CUST-60787,Website
UK-2026-103445,2026-05-08,West,Mumbai,Robot Vacuum R7,Home & Kitchen,1,19718,19718,CUST-75269,Website
UK-2026-103435,2026-05-16,South,Kochi,Vitamin C Serum,Beauty,1,703,703,CUST-13868,App
UK-2026-102145,2026-03-15,South,Hyderabad,Formal Shirt,Fashion,2,1073,2146,CUST-39971,App
UK-2026-104245,2026-06-25,West,Ahmedabad,Cotton Kurta Set,Fashion,1,1333,1333,CUST-57117,App
UK-2026-101529,2026-03-29,West,Surat,Formal Shirt,Fashion,1,1125,1125,CUST-95001,App
UK-2026-103276,2026-05-22,West,Ahmedabad,Gym Gloves,Sports,1,474,474,CUST-80184,App
UK-2026-101733,2026-03-17,Central,Bhopal,Leather Wallet,Fashion,1,904,904,CUST-47967,App
UK-2026-103030,2026-04-07,West,Ahmedabad,Badminton Racket Set,Sports,1,2410,2410,CUST-64882,App
UK-2026-100335,14/01/2026,East,Kolkata,Ultrabook Air 14,Electronics,1,28777,28777,CUST-51770,Website
UK-2026-104526,2026-06-08,Central,Bhopal,Formal Shirt,Fashion,2,1144,2288,CUST-75045,App
UK-2026-100905,2026-02-05,South,Kochi,Robot Vacuum R7,Home & Kitchen,2,19444,38888,CUST-49725,App
UK-2026-102890,2026-04-17,North,Delhi,Electric Kettle 1.5L,Home & Kitchen,1,1072,1072,CUST-84149,Website
UK-2026-101461,2026-03-19,South,Kochi,43-inch Smart TV,Electronics,3,26711,80133,CUST-86917,App
UK-2026-102789,2026-04-18,West,Pune,Mirrorless Camera Lite,Electronics,1,27915,27915,CUST-43973,App
UK-2026-104928,2026-06-03,North,Gurugram,Denim Jacket,Fashion,1,2118,2118,CUST-14282,Website
UK-2026-100211,2026-01-28,East,Patna,Slim Fit Jeans,Fashion,,1624,3248,CUST-93007,Website
UK-2026-100015,2026-01-31,North,Noida,Formal Shirt,Fashion,1,1121,1121,CUST-51770,Website
UK-2026-103483,2026-05-20,East,Kolkata,Smart Watch X2,Electronics,1,4716,4716,CUST-91884,Website
UK-2026-101231,2026-02-02,East,Guwahati,Leather Wallet,Fashion,1,860,860,CUST-17534,Website
UK-2026-100740,2026-02-11,North,Delhi,Slim Fit Jeans,Fashion,1,1585,1585,CUST-85333,App
UK-2026-101660,2026-03-18,South,Bengaluru,Noise-Cancelling Headphones,Electronics,2,9345,18690,CUST-44584,App
UK-2026-100009,2026-01-16,South,Hyderabad,Noise-Cancelling Headphones,Electronics,1,9340,9340,CUST-55160,Marketplace
UK-2026-101947,2026-03-11,Central,Nagpur,Electric Kettle 1.5L,Home & Kitchen,1,1134,1134,CUST-30396,App
UK-2026-101859,2026-03-08,Central,Nagpur,Noise-Cancelling Headphones,Electronics,1,9420,9420,CUST-45452,Website
UK-2026-102316,2026-04-01,East,Patna,Dinner Set 24pc,Home & Kitchen,,2452,2452,CUST-30056,App
UK-2026-101195,2026-02-04,West,Pune,Modern Wall Clock,Home & Kitchen,2,803,1606,CUST-67660,Website
UK-2026-100808,2026-02-16,East,Kolkata,Cotton Kurta Set,Fashion,1,1241,1241,CUST-42317,App
UK-2026-103906,05/05/2026,South,Hyderabad,Mixer Grinder 750W,Home & Kitchen,2,3231,6462,CUST-30925,Marketplace
UK-2026-100371,2026-01-20,South,Hyderabad,Silk Saree,Fashion,2,3570,7140,CUST-22747,App
UK-2026-100605,2026-01-19,South,Kochi,Football Size 5,Sports,1,911,911.00,CUST-51120,App
UK-2026-100152,2026-01-02,Central,Raipur,Adjustable Dumbbells 15kg,Sports,1,5106,5106,CUST-77496,App
UK-2026-102030,2026-03-11,East,Patna,Leather Wallet,Fashion,1,926,926,CUST-92024,App
UK-2026-101921,2026-03-06,West,Ahmedabad,Bluetooth Speaker Mini,Electronics,1,1514,1514,CUST-17436,Marketplace
UK-2026-103539,2026-05-13,West,Mumbai,Silk Saree,Fashion,1,3628,3628,CUST-13806,App
UK-2026-104119,2026-06-15,Central,Nagpur,Sunscreen SPF50,Beauty,1,563,563,CUST-91240,Marketplace
UK-2026-102674,2026-04-20,Central,Bhopal,Power Bank 20000mAh,Electronics,2,1858,3716,CUST-62642,App
UK-2026-102043,2026-03-08,South,Chennai,43-inch Smart TV,Electronics,1,25050,25050,CUST-82485,Website
UK-2026-101854,2026-03-19,North,Noida,Dinner Set 24pc,Home & Kitchen,1,2465,2465,CUST-85399,App
UK-2026-102904,2026-04-09,West,Mumbai,Running Sneakers,Fashion,1,2675,2675,CUST-90350,Website
UK-2026-101109,2026-02-20,Central,Raipur,Denim Jacket,Fashion,1,2242,2242,CUST-95626,App
UK-2026-104148,2026-06-06,West,Mumbai,Eau de Parfum 100ml,Beauty,1,2024,2024,CUST-71396,App
UK-2026-101273,2026-02-16,West,Mumbai,Robot Vacuum R7,Home & Kitchen,1,18739,18739,CUST-50569,App
UK-2026-100628,2026-01-12,North,Gurugram,43-inch Smart TV,Electronics,1,24835,24835,CUST-10381,App
UK-2026-103124,2026-05-14,South,Chennai,Ionic Hair Dryer,Beauty,1,1880,1880,CUST-98441,App
UK-2026-103158,2026-05-30,North,Noida,Power Bank 20000mAh,Electronics,4,1819,7276,CUST-35109,Marketplace
UK-2026-103024,2026-04-29,North,Delhi,Adjustable Dumbbells 15kg,Sports,1,5055,5055,CUST-81060,Marketplace
UK-2026-101421,2026-02-20,Central,Raipur,Noise-Cancelling Headphones,Electronics,1,9056,9056,CUST-62250,Website
UK-2026-100148,18-01-26,North,Noida,Leather Wallet,Fashion,1,925,925,CUST-76678,Website
UK-2026-104091,2026-06-24,West,Ahmedabad,Noise-Cancelling Headphones,Electronics,1,9215,9215,CUST-77619,App
UK-2026-101799,2026-03-30,West,Mumbai,Cricket Bat English Willow,Sports,1,8741,8741,CUST-51208,App
UK-2026-102268,2026-04-03,West,Surat,Gym Gloves,Sports,4,478,1912,CUST-19135,App
UK-2026-104138,2026-06-01,South,Chennai,Cotton Kurta Set,Fashion,2,1318,2636,CUST-42040,Website
UK-2026-103629,2026-05-13,West,Surat,Noise-Cancelling Headphones,Electronics,1,8807,8807,CUST-14910,App
UK-2026-101149,2026-02-13,South,Kochi,Smart Watch X2,Electronics,1,4481,4481,CUST-56045,Website
UK-2026-103244,2026-05-31,South,Madras,Ionic Hair Dryer,Beauty,1,1885,1885,CUST-92315,Website
UK-2026-102675,2026-04-20,,Delhi,Robot Vacuum R7,Home & Kitchen,4,18907,75628,CUST-57571,App
UK-2026-103176,2026-05-13,East,Patna,Football Size 5,Sports,2,863,1726,CUST-67634,App
UK-2026-104477,2026-06-07,East,Kolkata,Ultrabook Air 14,Electronics,1,29952,29952,CUST-54013,App
UK-2026-104748,2026-06-19,South,Bengaluru,Ethnic Dupatta,Fashion,1,494,494,CUST-49298,Marketplace
UK-2026-102118,2026-03-23,South,Kochi,Mirrorless Camera Lite,Electronics,1,30385,30385,CUST-95250,App
UK-2026-103146,2026-05-17,South,Hyderabad,Noise-Cancelling Headphones,Electronics,,9096,9096,CUST-94567,App
UK-2026-102970,2026-04-10,South,Kochi,Silk Saree,Fashion,1,3421,3421,CUST-59768,Website
UK-2026-102761,2026-04-04,West,Mumbai,Yoga Mat Pro,Sports,1,1258,1258,CUST-76137,App
